datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,28,0,1,-16.1150,-55.9490,359
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,27,0,1,-16.2090,-57.9950,32
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,30,0,1,-16.4230,-56.2480,50.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,109,0,1,-16.4240,-55.4770,141.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,59,0,1,-16.8790,-55.9240,348.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,26,0,1,-17.5560,-57.0360,61.3
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,29,0,1,-16.6490,-56.5200,38.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,91,0,1,-16.6150,-55.1930,102.8
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,99,0,1,-16.2100,-55.6680,317.9
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,31,0,1,-16.2750,-57.9530,34.3
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,NOSSA SENHORA DO LIVRAMENTO,Pantanal,30,0,1,-16.2820,-56.0440,18.8
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,32,0,1,-16.2960,-56.0350,34.6
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,31,0,1,-16.2840,-57.9510,89.5
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,31,0,1,-16.3090,-56.0460,83.7
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,39,0,1,-16.3150,-56.0170,181
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,NOSSA SENHORA DO LIVRAMENTO,Pantanal,57,0,1,-16.3200,-56.1140,49.7
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,33,0,1,-16.3220,-56.0580,694.4
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,38,0,1,-16.3350,-56.0700,142.4
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,27,0,1,-15.8430,-56.0210,37.9
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,26,0,1,-16.3350,-57.4750,26.9
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,27,0,1,-15.8460,-56.1050,85.2
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,32,0,1,-15.8590,-56.1170,59.1
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,110,0,1,-16.3740,-55.4680,42.1
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,110,0,1,-16.3740,-55.4750,61.2
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,41,0,1,-15.8720,-56.1280,60.3
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,110,0,1,-16.3790,-55.4980,59.3
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,27,0,1,-15.8780,-56.0290,102
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,28,0,1,-15.8930,-56.0540,69.3
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,110,0,1,-16.3820,-55.5120,72.5
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,110,0,1,-16.3850,-55.4660,22.6
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,33,0,1,-15.8950,-56.0680,29.7
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,86,0,1,-16.3870,-55.9000,43.9
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,110,0,1,-16.3900,-55.4960,317.2
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,110,0,1,-16.3880,-55.4810,995.8
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,88,0,1,-16.3920,-55.9270,86.6
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,27,0,1,-15.9210,-56.0000,29.7
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,110,0,1,-16.3990,-55.4790,174.7
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,110,0,1,-16.4010,-55.4940,176.3
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,65,0,1,-16.4100,-56.1060,41.5
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,84,0,1,-16.4120,-55.9800,16
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,68,0,1,-16.4130,-56.1190,20.6
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,27,0,1,-15.9370,-56.0250,14.3
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,72,0,1,-16.4170,-56.1460,66.4
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,64,0,1,-16.4320,-56.1710,49
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,71,0,1,-16.4460,-56.0580,88.4
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,72,0,1,-16.4440,-56.1140,20.6
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,80,0,1,-16.4840,-56.6230,188.1
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,27,0,1,-17.0110,-57.9510,8.6
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,31,0,1,-17.0200,-56.3880,18.5
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,31,0,1,-17.0520,-56.7120,49.6
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,31,0,1,-17.3420,-56.7270,504.8
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,31,0,1,-17.0580,-56.7480,40.8
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,30,0,1,-17.0630,-56.5850,174.6
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,22,0,1,-19.3890,-56.0150,17
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,37,0,1,-17.0780,-56.4160,12.2
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,23,0,1,-17.0820,-58.0080,158.2
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,37,0,1,-17.0850,-56.4080,13.6
2020/09/12 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,110,0,1,-16.5200,-55.9400,29.5
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,30,0,1,-16.7090,-57.7320,301.3
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,29,0,1,-16.7150,-57.6470,111.8
